mpg;l/100km;cylinders;displacement (cu in);displacement (cc);horsepower;weight (lb);weight (kg);acceleration (0-60mph);model_year;car_name;
21,0;11,20;6;199;3261,03;90;2648;1201,11;15;1970;amc gremlin;
10,0;23,52;8;360;5899,34;215;4615;2093,33;14;1970;ford f250;
10,0;23,52;8;307;5030,83;200;4376;1984,92;15;1970;chevy c20;
11,0;21,39;8;318;5211,09;210;4382;1987,64;13,5;1970;dodge d200;
9,0;26,14;8;304;4981,67;193;4732;2146,40;18,5;1970;hi 1200d;
27,0;8,71;4;97;1589,55;88;2130;966,15;14,5;1971;datsun pl510;
28,0;8,40;4;140;2294,19;90;2264;1026,93;15,5;1971;chevrolet vega 2300;
25,0;9,41;4;113;1851,74;95;2228;1010,60;14;1971;toyota corona;
25,0;9,41;4;98;1605,93;NA;2046;928,05;19;1971;ford pinto;
NA;NA;4;97;1589,55;48;1978;897,21;20;1971;volkswagen super beetle 117;
19,0;12,38;6;232;3801,80;100;2634;1194,76;13;1971;amc gremlin;
16,0;14,70;6;225;3687,09;105;3439;1559,90;15,5;1971;plymouth satellite custom;
17,0;13,84;6;250;4096,77;100;3329;1510,01;15,5;1971;chevrolet chevelle malibu;
19,0;12,38;6;250;4096,77;88;3302;1497,76;15,5;1971;ford torino 500;
18,0;13,07;6;232;3801,80;100;3288;1491,41;15,5;1971;amc matador;
14,0;16,80;8;350;5735,47;165;4209;1909,17;12;1971;chevrolet impala;
14,0;16,80;8;400;6554,83;175;4464;2024,84;11,5;1971;pontiac catalina brougham;
14,0;16,80;8;351;5751,86;153;4154;1884,22;13,5;1971;ford galaxie 500;
14,0;16,80;8;318;5211,09;150;4096;1857,91;13;1971;plymouth fury iii;
12,0;19,60;8;383;6276,25;180;4955;2247,55;11,5;1971;dodge monaco (sw);
13,0;18,10;8;400;6554,83;170;4746;2152,75;12;1971;ford country squire (sw);
13,0;18,10;8;400;6554,83;175;5140;2331,46;12;1971;pontiac safari (sw);
18,0;13,07;6;258;4227,86;110;2962;1343,54;13,5;1971;amc hornet sportabout (sw);
22,0;10,69;4;140;2294,19;72;2408;1092,25;19;1971;chevrolet vega (sw);
19,0;12,38;6;250;4096,77;100;3282;1488,69;15;1971;pontiac firebird;
18,0;13,07;6;250;4096,77;88;3139;1423,83;14,5;1971;ford mustang;
23,0;10,23;4;122;1999,22;86;2220;1006,98;14;1971;mercury capri 2000;
28,0;8,40;4;116;1900,90;90;2123;962,98;14;1971;opel 1900;
30,0;7,84;4;79;1294,58;70;2074;940,75;19,5;1971;peugeot 304;
30,0;7,84;4;88;1442,06;76;2065;936,67;14,5;1971;fiat 124b;
31,0;7,59;4;71;1163,48;65;1773;804,22;19;1971;toyota corolla 1200;
35,0;6,72;4;72;1179,87;69;1613;731,64;18;1971;datsun 1200;
27,0;8,71;4;97;1589,55;60;1834;831,89;19;1971;volkswagen model 111;
26,0;9,05;4;91;1491,22;70;1955;886,77;20,5;1971;plymouth cricket;
24,0;9,80;4;113;1851,74;95;2278;1033,28;15,5;1972;toyota corona hardtop;
25,0;9,41;4;97,5;1597,74;80;2126;964,34;17;1972;dodge colt hardtop;
23,0;10,23;4;97;1589,55;54;2254;1022,40;23,5;1972;volkswagen type 3;
20,0;11,76;4;140;2294,19;90;2408;1092,25;19,5;1972;chevrolet vega;
21,0;11,20;4;122;1999,22;86;2226;1009,70;16,5;1972;ford pinto runabout;
13,0;18,10;8;350;5735,47;165;4274;1938,65;12;1972;chevrolet impala;
14,0;16,80;8;400;6554,83;175;4385;1989,00;12;1972;pontiac catalina;
15,0;15,68;8;318;5211,09;150;4135;1875,60;13,5;1972;plymouth fury iii;
14,0;16,80;8;351;5751,86;153;4129;1872,88;13;1972;ford galaxie 500;
17,0;13,84;8;304;4981,67;150;3672;1665,59;11,5;1972;amc ambassador sst;
11,0;21,39;8;429;7030,05;208;4633;2101,49;11;1972;mercury marquis;
13,0;18,10;8;350;5735,47;155;4502;2042,07;13,5;1972;buick lesabre custom;
12,0;19,60;8;350;5735,47;160;4456;2021,21;13,5;1972;oldsmobile delta 88 royale;
13,0;18,10;8;400;6554,83;190;4422;2005,79;12,5;1972;chrysler newport royal;
19,0;12,38;3;70;1147,09;97;2330;1056,87;13,5;1972;mazda rx2 coupe;
15,0;15,68;8;304;4981,67;150;3892;1765,38;12,5;1972;amc matador (sw);
13,0;18,10;8;307;5030,83;130;4098;1858,82;14;1972;chevrolet chevelle concours (sw);
13,0;18,10;8;302;4948,89;140;4294;1947,73;16;1972;ford gran torino (sw);
14,0;16,80;8;318;5211,09;150;4077;1849,30;14;1972;plymouth satellite custom (sw);
18,0;13,07;4;121;1982,83;112;2933;1330,39;14,5;1972;volvo 145e (sw);
22,0;10,69;4;121;1982,83;76;2511;1138,97;18;1972;volkswagen 411 (sw);
21,0;11,20;4;120;1966,45;87;2979;1351,25;19,5;1972;peugeot 504 (sw);
26,0;9,05;4;96;1573,16;69;2189;992,91;18;1972;renault 12 (sw);
22,0;10,69;4;122;1999,22;86;2395;1086,35;16;1972;ford pinto (sw);
28,0;8,40;4;97;1589,55;92;2288;1037,82;17;1972;datsun 510 (sw);
23,0;10,23;4;120;1966,45;97;2506;1136,70;14,5;1972;toyouta corona mark ii (sw);
28,0;8,40;4;98;1605,93;80;2164;981,57;15;1972;dodge colt (sw);
27,0;8,71;4;97;1589,55;88;2100;952,54;16,5;1972;toyota corolla 1600 (sw);
13,0;18,10;8;350;5735,47;175;4100;1859,73;13;1973;buick century 350;
14,0;16,80;8;304;4981,67;150;3672;1665,59;11,5;1973;amc matador;
13,0;18,10;8;350;5735,47;145;3988;1808,93;13;1973;chevrolet malibu;
14,0;16,80;8;302;4948,89;137;4042;1833,42;14,5;1973;ford gran torino;
15,0;15,68;8;318;5211,09;150;3777;1713,22;12,5;1973;dodge coronet custom;
12,0;19,60;8;429;7030,05;198;4952;2246,19;11,5;1973;mercury marquis brougham;
13,0;18,10;8;400;6554,83;150;4464;2024,84;12;1973;chevrolet caprice classic;
13,0;18,10;8;351;5751,86;158;4363;1979,02;13;1973;ford ltd;
14,0;16,80;8;318;5211,09;150;4237;1921,87;14,5;1973;plymouth fury gran sedan;
13,0;18,10;8;440;7210,31;215;4735;2147,76;11;1973;chrysler new yorker brougham;
12,0;19,60;8;455;7456,11;225;4951;2245,74;11;1973;buick electra 225 custom;
13,0;18,10;8;360;5899,34;175;3821;1733,18;11;1973;amc ambassador brougham;
18,0;13,07;6;225;3687,09;105;3121;1415,66;16,5;1973;plymouth valiant;
16,0;14,70;6;250;4096,77;100;3278;1486,88;18;1973;chevrolet nova custom;
18,0;13,07;6;232;3801,80;100;2945;1335,83;16;1973;amc hornet;
18,0;13,07;6;250;4096,77;88;3021;1370,30;16,5;1973;ford maverick;
23,0;10,23;6;198;3244,64;95;2904;1317,23;16;1973;plymouth duster;
26,0;9,05;4;97;1589,55;46;1950;884,51;21;1973;volkswagen super beetle;
11,0;21,39;8;400;6554,83;150;4997;2266,60;14;1973;chevrolet impala;
12,0;19,60;8;400;6554,83;167;4906;2225,32;12,5;1973;ford country;
13,0;18,10;8;360;5899,34;170;4654;2111,02;13;1973;plymouth custom suburb;
12,0;19,60;8;350;5735,47;180;4499;2040,71;12,5;1973;oldsmobile vista cruiser;
18,0;13,07;6;232;3801,80;100;2789;1265,07;15;1973;amc gremlin;
20,0;11,76;4;97;1589,55;88;2279;1033,74;19;1973;toyota carina;
21,0;11,20;4;140;2294,19;72;2401;1089,08;19,5;1973;chevrolet vega;
22,0;10,69;4;108;1769,80;94;2379;1079,10;16,5;1973;datsun 610;
18,0;13,07;3;70;1147,09;90;2124;963,43;13,5;1973;maxda rx3;
19,0;12,38;4;122;1999,22;85;2310;1047,80;18,5;1973;ford pinto;
21,0;11,20;6;155;2539,99;107;2472;1121,28;14;1973;mercury capri v6;
26,0;9,05;4;98;1605,93;90;2265;1027,39;15,5;1973;fiat 124 sport coupe;
15,0;15,68;8;350;5735,47;145;4082;1851,56;13;1973;chevrolet monte carlo s;
16,0;14,70;8;400;6554,83;230;4278;1940,47;9,5;1973;pontiac grand prix;
29,0;8,11;4;68;1114,32;49;1867;846,86;19,5;1973;fiat 128;
24,0;9,80;4;116;1900,90;75;2158;978,85;15,5;1973;opel manta;
20,0;11,76;4;114;1868,13;91;2582;1171,18;14;1973;audi 100ls;
19,0;12,38;4;121;1982,83;112;2868;1300,90;15,5;1973;volvo 144ea;
15,0;15,68;8;318;5211,09;150;3399;1541,76;11;1973;dodge dart custom;
24,0;9,80;4;121;1982,83;110;2660;1206,56;14;1973;saab 99le;
20,0;11,76;6;156;2556,38;122;2807;1273,23;13,5;1973;toyota mark ii;
11,0;21,39;8;350;5735,47;180;3664;1661,96;11;1973;oldsmobile omega;
20,0;11,76;6;198;3244,64;95;3102;1407,04;16,5;1974;plymouth duster;
21,0;11,20;6;200;3277,41;NA;2875;1304,08;17;1974;ford maverick;
19,0;12,38;6;232;3801,80;100;2901;1315,87;16;1974;amc hornet;
15,0;15,68;6;250;4096,77;100;3336;1513,18;17;1974;chevrolet nova;
31,0;7,59;4;79;1294,58;67;1950;884,51;19;1974;datsun b210;
26,0;9,05;4;122;1999,22;80;2451;1111,75;16,5;1974;ford pinto;
32,0;7,35;4;71;1163,48;65;1836;832,80;21;1974;toyota corolla 1200;
25,0;9,41;4;140;2294,19;75;2542;1153,03;17;1974;chevrolet vega;
16,0;14,70;6;250;4096,77;100;3781;1715,03;17;1974;chevrolet chevelle malibu classic;
16,0;14,70;6;258;4227,86;110;3632;1647,45;18;1974;amc matador;
18,0;13,07;6;225;3687,09;105;3613;1638,83;16,5;1974;plymouth satellite sebring;
16,0;14,70;8;302;4948,89;140;4141;1878,33;14;1974;ford gran torino;
13,0;18,10;8;350;5735,47;150;4699;2131,43;14,5;1974;buick century luxus (sw);
14,0;16,80;8;318;5211,09;150;4457;2021,66;13,5;1974;dodge coronet custom (sw);
14,0;16,80;8;302;4948,89;140;4638;2103,76;16;1974;ford gran torino (sw);
14,0;16,80;8;304;4981,67;150;4257;1930,94;15,5;1974;amc matador (sw);
29,0;8,11;4;98;1605,93;83;2219;1006,52;16,5;1974;audi fox;
26,0;9,05;4;79;1294,58;67;1963;890,40;15,5;1974;volkswagen dasher;
26,0;9,05;4;97;1589,55;78;2300;1043,26;14,5;1974;opel manta;
31,0;7,59;4;76;1245,42;52;1649;747,97;16,5;1974;toyota corona;
32,0;7,35;4;83;1360,13;61;2003;908,55;19;1974;datsun 710;
28,0;8,40;4;90;1474,84;75;2125;963,88;14,5;1974;dodge colt;
24,0;9,80;4;90;1474,84;75;2108;956,17;15,5;1974;fiat 128;
26,0;9,05;4;116;1900,90;75;2246;1018,77;14;1974;fiat 124 tc;
24,0;9,80;4;120;1966,45;97;2489;1128,99;15;1974;honda civic;
26,0;9,05;4;108;1769,80;93;2391;1084,54;15,5;1974;subaru;
31,0;7,59;4;79;1294,58;67;2000;907,18;16;1974;fiat x1,9;
19,0;12,38;6;225;3687,09;95;3264;1480,53;16;1975;plymouth valiant custom;
18,0;13,07;6;250;4096,77;105;3459;1568,98;16;1975;chevrolet nova;
15,0;15,68;6;250;4096,77;72;3432;1556,73;21;1975;mercury monarch;
15,0;15,68;6;250;4096,77;72;3158;1432,44;19,5;1975;ford maverick;
16,0;14,70;8;400;6554,83;170;4668;2117,37;11,5;1975;pontiac catalina;
15,0;15,68;8;350;5735,47;145;4440;2013,95;14;1975;chevrolet bel air;
16,0;14,70;8;318;5211,09;150;4498;2040,26;14,5;1975;plymouth grand fury;
14,0;16,80;8;351;5751,86;148;4657;2112,38;13,5;1975;ford ltd;
17,0;13,84;6;231;3785,41;110;3907;1772,19;21;1975;buick century;
16,0;14,70;6;250;4096,77;105;3897;1767,65;18,5;1975;chevroelt chevelle malibu;
15,0;15,68;6;258;4227,86;110;3730;1691,90;19;1975;amc matador;
18,0;13,07;6;225;3687,09;95;3785;1716,85;19;1975;plymouth fury;
21,0;11,20;6;231;3785,41;110;3039;1378,47;15;1975;buick skyhawk;
20,0;11,76;8;262;4293,41;110;3221;1461,02;13,5;1975;chevrolet monza 2+2;
13,0;18,10;8;302;4948,89;129;3169;1437,43;12;1975;ford mustang ii;
29,0;8,11;4;97;1589,55;75;2171;984,75;16;1975;toyota corolla;
23,0;10,23;4;140;2294,19;83;2639;1197,03;17;1975;ford pinto;
20,0;11,76;6;232;3801,80;100;2914;1321,77;16;1975;amc gremlin;
23,0;10,23;4;140;2294,19;78;2592;1175,71;18,5;1975;pontiac astro;
24,0;9,80;4;134;2195,87;96;2702;1225,61;13,5;1975;toyota corona;
25,0;9,41;4;90;1474,84;71;2223;1008,34;16,5;1975;volkswagen dasher;
24,0;9,80;4;119;1950,06;97;2545;1154,39;17;1975;datsun 710;
18,0;13,07;6;171;2802,19;97;2984;1353,52;14,5;1975;ford pinto;
29,0;8,11;4;90;1474,84;70;1937;878,61;14;1975;volkswagen rabbit;
19,0;12,38;6;232;3801,80;90;3211;1456,49;17;1975;amc pacer;
23,0;10,23;4;115;1884,51;95;2694;1221,98;15;1975;audi 100ls;
23,0;10,23;4;120;1966,45;88;2957;1341,27;17;1975;peugeot 504;
22,0;10,69;4;121;1982,83;98;2945;1335,83;14,5;1975;volvo 244dl;
25,0;9,41;4;121;1982,83;115;2671;1211,55;13,5;1975;saab 99le;
33,0;7,13;4;91;1491,22;53;1795;814,20;17,5;1975;honda civic cvcc;
28,0;8,40;4;107;1753,42;86;2464;1117,65;15,5;1976;fiat 131;
25,0;9,41;4;116;1900,90;81;2220;1006,98;16,9;1976;opel 1900;
25,0;9,41;4;140;2294,19;92;2572;1166,64;14,9;1976;capri ii;
26,0;9,05;4;98;1605,93;79;2255;1022,85;17,7;1976;dodge colt;
27,0;8,71;4;101;1655,09;83;2202;998,81;15,3;1976;renault 12tl;
17,5;13,44;8;305;4998,05;140;4215;1911,89;13;1976;chevrolet chevelle malibu classic;
16,0;14,70;8;318;5211,09;150;4190;1900,55;13;1976;dodge coronet brougham;
15,5;15,18;8;304;4981,67;120;3962;1797,13;13,9;1976;amc matador;
14,5;16,22;8;351;5751,86;152;4215;1911,89;12,8;1976;ford gran torino;
22,0;10,69;6;225;3687,09;100;3233;1466,46;15,4;1976;plymouth valiant;
22,0;10,69;6;250;4096,77;105;3353;1520,90;14,5;1976;chevrolet nova;
24,0;9,80;6;200;3277,41;81;3012;1366,22;17,6;1976;ford maverick;
22,5;10,46;6;232;3801,80;90;3085;1399,33;17,6;1976;amc hornet;
29,0;8,11;4;85;1392,90;52;2035;923,06;22,2;1976;chevrolet chevette;
24,5;9,60;4;98;1605,93;60;2164;981,57;22,1;1976;chevrolet woody;
29,0;8,11;4;90;1474,84;70;1937;878,61;14,2;1976;vw rabbit;
33,0;7,13;4;91;1491,22;53;1795;814,20;17,4;1976;honda civic;
20,0;11,76;6;225;3687,09;100;3651;1656,07;17,7;1976;dodge aspen se;
18,0;13,07;6;250;4096,77;78;3574;1621,14;21;1976;ford granada ghia;
18,5;12,72;6;250;4096,77;110;3645;1653,34;16,2;1976;pontiac ventura sj;
17,5;13,44;6;258;4227,86;95;3193;1448,32;17,8;1976;amc pacer d/l;
29,5;7,97;4;97;1589,55;71;1825;827,81;12,2;1976;volkswagen rabbit;
32,0;7,35;4;85;1392,90;70;1990;902,65;17;1976;datsun b-210;
28,0;8,40;4;97;1589,55;75;2155;977,49;16,4;1976;toyota corolla;
26,5;8,88;4;140;2294,19;72;2565;1163,46;13,6;1976;ford pinto;
20,0;11,76;4;130;2130,32;102;3150;1428,82;15,7;1976;volvo 245;
13,0;18,10;8;318;5211,09;150;3940;1787,15;13,2;1976;plymouth volare premier v8;
19,0;12,38;4;120;1966,45;88;3270;1483,25;21,9;1976;peugeot 504;
19,0;12,38;6;156;2556,38;108;2930;1329,03;15,5;1976;toyota mark ii;
16,5;14,26;6;168;2753,03;120;3820;1732,72;16,7;1976;mercedes-benz 280s;
16,5;14,26;8;350;5735,47;180;4380;1986,73;12,1;1976;cadillac seville;
13,0;18,10;8;350;5735,47;145;4055;1839,32;12;1976;chevy c10;
13,0;18,10;8;302;4948,89;130;3870;1755,40;15;1976;ford f108;
13,0;18,10;8;318;5211,09;150;3755;1703,24;14;1976;dodge d100;
31,5;7,47;4;98;1605,93;68;2045;927,60;18,5;1977;honda accord cvcc;
30,0;7,84;4;111;1818,96;80;2155;977,49;14,8;1977;buick opel isuzu deluxe;
36,0;6,53;4;79;1294,58;58;1825;827,81;18,6;1977;renault 5 gtl;
25,5;9,23;4;122;1999,22;96;2300;1043,26;15,5;1977;plymouth arrow gs;
33,5;7,02;4;85;1392,90;70;1945;882,24;16,8;1977;datsun f-10 hatchback;
17,5;13,44;8;305;4998,05;145;3880;1759,94;12,5;1977;chevrolet caprice classic;
17,0;13,84;8;260;4260,64;110;4060;1841,59;19;1977;oldsmobile cutlass supreme;
15,5;15,18;8;318;5211,09;145;4140;1877,87;13,7;1977;dodge monaco brougham;
15,0;15,68;8;302;4948,89;130;4295;1948,18;14,9;1977;mercury cougar brougham;
17,5;13,44;6;250;4096,77;110;3520;1596,65;16,4;1977;chevrolet concours;
20,5;11,48;6;231;3785,41;105;3425;1553,55;16,9;1977;buick skylark;
19,0;12,38;6;225;3687,09;100;3630;1646,54;17,7;1977;plymouth volare custom;
18,5;12,72;6;250;4096,77;98;3525;1598,91;19;1977;ford granada;
16,0;14,70;8;400;6554,83;180;4220;1914,16;11,1;1977;pontiac grand prix lj;
15,5;15,18;8;350;5735,47;170;4165;1889,21;11,4;1977;chevrolet monte carlo landau;
15,5;15,18;8;400;6554,83;190;4325;1961,79;12,2;1977;chrysler cordoba;
16,0;14,70;8;351;5751,86;149;4335;1966,32;14,5;1977;ford thunderbird;
29,0;8,11;4;97;1589,55;78;1940;879,97;14,5;1977;volkswagen rabbit custom;
24,5;9,60;4;151;2474,45;88;2740;1242,84;16;1977;pontiac sunbird coupe;
26,0;9,05;4;97;1589,55;75;2265;1027,39;18,2;1977;toyota corolla liftback;
25,5;9,23;4;140;2294,19;89;2755;1249,65;15,8;1977;ford mustang ii 2+2;
30,5;7,71;4;98;1605,93;63;2051;930,32;17;1977;chevrolet chevette;
33,5;7,02;4;98;1605,93;83;2075;941,20;15,9;1977;dodge colt m/m;
30,0;7,84;4;97;1589,55;67;1985;900,38;16,4;1977;subaru dl;
30,5;7,71;4;97;1589,55;78;2190;993,37;14,1;1977;volkswagen dasher;
22,0;10,69;6;146;2392,51;97;2815;1276,86;14,5;1977;datsun 810;
21,5;10,94;4;121;1982,83;110;2600;1179,34;12,8;1977;bmw 320i;
21,5;10,94;3;80;1310,97;110;2720;1233,77;13,5;1977;mazda rx-4;
43,1;5,46;4;90;1474,84;48;1985;900,38;21,5;1978;volkswagen rabbit custom diesel;
36,1;6,52;4;98;1605,93;66;1800;816,47;14,4;1978;ford fiesta;
32,8;7,17;4;78;1278,19;52;1985;900,38;19,4;1978;mazda glc deluxe;
39,4;5,97;4;85;1392,90;70;2070;938,94;18,6;1978;datsun b210 gx;
36,1;6,52;4;91;1491,22;60;1800;816,47;16,4;1978;honda civic cvcc;
19,9;11,82;8;260;4260,64;110;3365;1526,34;15,5;1978;oldsmobile cutlass salon brougham;
19,4;12,13;8;318;5211,09;140;3735;1694,17;13,2;1978;dodge diplomat;
20,2;11,65;8;302;4948,89;139;3570;1619,32;12,8;1978;mercury monarch ghia;
19,2;12,25;6;231;3785,41;105;3535;1603,45;19,2;1978;pontiac phoenix lj;
20,5;11,48;6;200;3277,41;95;3155;1431,08;18,2;1978;chevrolet malibu;
20,2;11,65;6;200;3277,41;85;2965;1344,90;15,8;1978;ford fairmont (auto);
25,1;9,37;4;140;2294,19;88;2720;1233,77;15,4;1978;ford fairmont (man);
20,5;11,48;6;225;3687,09;100;3430;1555,82;17,2;1978;plymouth volare;
19,4;12,13;6;232;3801,80;90;3210;1456,03;17,2;1978;amc concord;
20,6;11,42;6;231;3785,41;105;3380;1533,14;15,8;1978;buick century special;
20,8;11,31;6;200;3277,41;85;3070;1392,53;16,7;1978;mercury zephyr;
18,6;12,65;6;225;3687,09;110;3620;1642,00;18,7;1978;dodge aspen;
18,1;13,00;6;258;4227,86;120;3410;1546,75;15,1;1978;amc concord d/l;
19,2;12,25;8;305;4998,05;145;3425;1553,55;13,2;1978;chevrolet monte carlo landau;
17,7;13,29;6;231;3785,41;165;3445;1562,63;13,4;1978;buick regal sport coupe (turbo);
18,1;13,00;8;302;4948,89;139;3205;1453,76;11,2;1978;ford futura;
17,5;13,44;8;318;5211,09;140;4080;1850,66;13,7;1978;dodge magnum xe;
30,0;7,84;4;98;1605,93;68;2155;977,49;16,5;1978;chevrolet chevette;
27,5;8,55;4;134;2195,87;95;2560;1161,20;14,2;1978;toyota corona;
27,2;8,65;4;119;1950,06;97;2300;1043,26;14,7;1978;datsun 510;
30,9;7,61;4;105;1720,64;75;2230;1011,51;14,5;1978;dodge omni;
21,1;11,15;4;134;2195,87;95;2515;1140,78;14,8;1978;toyota celica gt liftback;
23,2;10,14;4;156;2556,38;105;2745;1245,11;16,7;1978;plymouth sapporo;
23,8;9,88;4;151;2474,45;85;2855;1295,01;17,6;1978;oldsmobile starfire sx;
23,9;9,84;4;119;1950,06;97;2405;1090,89;14,9;1978;datsun 200-sx;
20,3;11,59;5;131;2146,71;103;2830;1283,67;15,9;1978;audi 5000;
17,0;13,84;6;163;2671,09;125;3140;1424,28;13,6;1978;volvo 264gl;
21,6;10,89;4;121;1982,83;115;2795;1267,79;15,7;1978;saab 99gle;
16,2;14,52;6;163;2671,09;133;3410;1546,75;15,8;1978;peugeot 604sl;
31,5;7,47;4;89;1458,45;71;1990;902,65;14,9;1978;volkswagen scirocco;
29,5;7,97;4;98;1605,93;68;2135;968,42;16,6;1978;honda accord lx;
21,5;10,94;6;231;3785,41;115;3245;1471,91;15,4;1979;pontiac lemans v6;
19,8;11,88;6;200;3277,41;85;2990;1356,24;18,2;1979;mercury zephyr 6;
22,3;10,55;4;140;2294,19;88;2890;1310,88;17,3;1979;ford fairmont 4;
20,2;11,65;6;232;3801,80;90;3265;1480,98;18,2;1979;amc concord dl 6;
20,6;11,42;6;225;3687,09;110;3360;1524,07;16,6;1979;dodge aspen 6;
17,0;13,84;8;305;4998,05;130;3840;1741,79;15,4;1979;chevrolet caprice classic;
17,6;13,37;8;302;4948,89;129;3725;1689,63;13,4;1979;ford ltd landau;
16,5;14,26;8;351;5751,86;138;3955;1793,96;13,2;1979;mercury grand marquis;
18,2;12,93;8;318;5211,09;135;3830;1737,26;15,2;1979;dodge st, regis;
16,9;13,92;8;350;5735,47;155;4360;1977,66;14,9;1979;buick estate wagon (sw);
15,5;15,18;8;351;5751,86;142;4054;1838,86;14,3;1979;ford country squire (sw);
19,2;12,25;8;267;4375,35;125;3605;1635,20;15;1979;chevrolet malibu classic (sw);
18,5;12,72;8;360;5899,34;150;3940;1787,15;13;1979;chrysler lebaron town @ country (sw);
31,9;7,37;4;89;1458,45;71;1925;873,17;14;1979;vw rabbit custom;
34,1;6,90;4;86;1409,29;65;1975;895,84;15,2;1979;maxda glc deluxe;
35,7;6,59;4;98;1605,93;80;1915;868,63;14,4;1979;dodge colt hatchback custom;
27,4;8,59;4;121;1982,83;80;2670;1211,09;15;1979;amc spirit dl;
25,4;9,26;5;183;2998,83;77;3530;1601,18;20,1;1979;mercedes benz 300d;
23,0;10,23;8;350;5735,47;125;3900;1769,01;17,4;1979;cadillac eldorado;
27,2;8,65;4;141;2310,58;71;3190;1446,96;24,8;1979;peugeot 504;
23,9;9,84;8;260;4260,64;90;3420;1551,29;22,2;1979;oldsmobile cutlass salon brougham;
34,2;6,88;4;105;1720,64;70;2200;997,90;13,2;1979;plymouth horizon;
34,5;6,82;4;105;1720,64;70;2150;975,22;14,9;1979;plymouth horizon tc3;
31,8;7,40;4;85;1392,90;65;2020;916,26;19,2;1979;datsun 210;
37,3;6,31;4;91;1491,22;69;2130;966,15;14,7;1979;fiat strada custom;
28,4;8,28;4;151;2474,45;90;2670;1211,09;16;1979;buick skylark limited;
28,8;8,17;6;173;2834,96;115;2595;1177,07;11,3;1979;chevrolet citation;
26,8;8,78;6;173;2834,96;115;2700;1224,70;12,9;1979;oldsmobile omega brougham;
33,5;7,02;4;151;2474,45;90;2556;1159,38;13,2;1979;pontiac phoenix;
41,5;5,67;4;98;1605,93;76;2144;972,50;14,7;1980;vw rabbit;
38,1;6,17;4;89;1458,45;60;1968;892,67;18,8;1980;toyota corolla tercel;
32,1;7,33;4;98;1605,93;70;2120;961,62;15,5;1980;chevrolet chevette;
37,2;6,32;4;86;1409,29;65;2019;915,80;16,4;1980;datsun 310;
28,0;8,40;4;151;2474,45;90;2678;1214,72;16,5;1980;chevrolet citation;
26,4;8,91;4;140;2294,19;88;2870;1301,81;18,1;1980;ford fairmont;
24,3;9,68;4;151;2474,45;90;3003;1362,14;20,1;1980;amc concord;
19,1;12,32;6;225;3687,09;90;3381;1533,60;18,7;1980;dodge aspen;
34,3;6,86;4;97;1589,55;78;2188;992,46;15,8;1980;audi 4000;
